id,text,created_at,context_annotations
1506433617550929924,https://t.co/GRGsYQNRmf,2022-03-23T00:52:17.000Z,
1506400093456400387,RT @rpnickson: See you all at the Azuki event in LA 🎴 https://t.co/eIAp8IYZbP,2022-03-22T22:39:04.000Z,
1506088685170692099,"RT @thenftwitch: ⛩️AZUKI TRAITS ART CHALLENGE⛩️

1. Draw an Azuki fanart with your favorite trait as the star
2. Let us know why it's your…",2022-03-22T02:01:38.000Z,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847868745150119936', 'name': 'Home & family', 'description': 'Hobbies and interests'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847869251595542528', 'name': 'Drawing & illustration', 'description': 'Drawing and sketching'}}]"
1506056307572297730,RT @ZAGABOND: 9 DAYS 🫘 https://t.co/9XTzQTMWCn,2022-03-21T23:52:59.000Z,
1505628537025282049,"◤◢ AZUKI GARDEN PARTY  ◤◢

Form: https://t.co/tDi9VoB376 

• Must be verified Azuki holder 
• 21+ and proof of vaccination required 
• Only RSVP if you plan to attend IRL in LA 
• Email with event details prior to event 

🌐⛩️🌐⛩️🌐 https://t.co/O1FiFXIGxL",2022-03-20T19:33:11.000Z,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
1504881701813596163,RT @ChipNFT: 🫘 https://t.co/hPxMdtG64X,2022-03-18T18:05:31.000Z,
1504846504057401344,"RT @sinklavv: A Glimpse from the Garden

@AzukiZen #AzukiArt #AzukiLore https://t.co/WcYaXeSxrG",2022-03-18T15:45:39.000Z,
1504835465014218752,🫘,2022-03-18T15:01:48.000Z,
1504682191938228231,"RT @febtea: ❓提问：红豆的世界中为什么有灵体？

❓Q: Why are there Spirits in Azuki's universe?

Azuki creds: @ChipNFT @konger_eth https://t.co/ASCS86rhd1",2022-03-18T04:52:44.000Z,
1504578176579629056,"• Location TBA
• RSVP form with details soon  
• IKZ 

🌐⛩️🌐⛩️🌐",2022-03-17T21:59:25.000Z,
1504578174738329601,https://t.co/Cor2euzgFI,2022-03-17T21:59:25.000Z,
1504204356740026369,RT @vyvvyn: Such a memorable day ⛩@AzukiZen https://t.co/C2c6KWnfCb,2022-03-16T21:14:00.000Z,
1504200991314354178,"RT @HYPEBEAST: Missed our #HYPETALKS with @AzukiZen? Here’s the recording:
 https://t.co/nFVPg4dIfG",2022-03-16T21:00:37.000Z,
