text,id,created_at,context_annotations
RT @veecon: incoming 🪂🪂🪂 https://t.co/ffYTVltqOe,1506482144746606597,2022-03-23T04:05:07.000Z,
"Where are our visual learners at? Catch up on everything from VeeFriends last week (3/11-3/18) in under 30 seconds, or read the full thread to get everything in-depth 👇 https://t.co/0iYzjBrNTf https://t.co/e8kk6FNUIG",1506408188047986689,2022-03-22T23:11:14.000Z,
@garyvee https://t.co/hpOjJ12kIF,1506400694647115787,2022-03-22T22:41:27.000Z,
"Welcome everyone! Whether you’ve been in the VeeFam since May or are just joining, we’re excited to have you as we try out this new feature. No VeeFriend required to be in here, only positive vibes and curiosity needed 🙂",1506397490777579520,2022-03-22T22:28:43.000Z,
"Trying out this fun new feature on Twitter called Community! This allows the VeeFam to get closer on Twitter, and we’re excited to see how you guys vibe with it. You can join below 👇 https://t.co/nNwgOVACJ7",1506395502711132164,2022-03-22T22:20:49.000Z,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}]"
"RT @veecon: You've been asking for it, and here it is! The VeeCon 2022 Volunteer Application, if you're interested, apply below
👇👇👇
https:/…",1506392128540356610,2022-03-22T22:07:25.000Z,
RT @veecon: Join us in welcoming @dixiedamelio as a Speaker at VeeCon 2022! #SeeYouAtVeeCon https://t.co/66YBz8o6um,1506379646010593287,2022-03-22T21:17:49.000Z,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1248227849867124737', 'name': ""Dixie D'Amelio""}}, {'domain': {'id': '120', 'name': 'Digital Creator', 'description': 'Influencers who create content on digital platforms'}, 'entity': {'id': '1248227849867124737', 'name': ""Dixie D'Amelio""}}]"
RT @veecon: Join us in welcoming @DrewAustin as a Speaker at VeeCon 2022! #SeeYouAtVeeCon https://t.co/MpqPhEDuxO,1506379639287123980,2022-03-22T21:17:47.000Z,
It'll be the red one for me please 💊 https://t.co/yRmR62x8EU,1506372235564654599,2022-03-22T20:48:22.000Z,
I said what I said https://t.co/Vn2zcxRv0X,1506351910974070792,2022-03-22T19:27:36.000Z,
"Series 2 is heating up... Get all of the alpha and hints in the Discord, much more info to come and Discord finds out first! Join at https://t.co/92PjWzTMaB https://t.co/G4uDQA0PCF",1506323644464746509,2022-03-22T17:35:17.000Z,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1168499224297656321', 'name': 'Discord'}}]"
RT @garyvee: https://t.co/xmCmjsFtwV,1506323282882174979,2022-03-22T17:33:51.000Z,
RT @lion_king65: Loving the evolution of @veefriends! From minting what I truly thought were ‘just’ doodles to what it’s becoming is comple…,1506322931315523591,2022-03-22T17:32:27.000Z,
"First education session today is LIVE NOW until 1PM ET! Join up, bring a friend, and come learn about everything NFTs https://t.co/vGKfYWVuts",1506298859101822981,2022-03-22T15:56:48.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
"Whether you're gearing up for VeeFriends Series 2 or just want to learn about NFTs, these free-to-attend NFT 101 sessions are for you! Come learn all of the basics with the VeeFriends team. 
Today's sessions: 12PM ET &amp; 8PM ET
All info: https://t.co/39tMr77Khy https://t.co/3EAhmEd1KF",1506283720990412801,2022-03-22T14:56:39.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
